No,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_00930,4,3,3,1,2,4,4,4,2,2,4,2,4,4,2,4,4
FGSG_07458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01925,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02719,4,4,4,1,4,4,4,4,4,4,4,4,4,6,6,6,4
FGSG_06768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07546,4,5,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_08713,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09807,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01167,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01662,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05588,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07583,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00671,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00717,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01955,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01976,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04169,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06777,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06931,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06951,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07082,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08645,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08756,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08761,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09000,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09406,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09662,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09904,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
FGSG_09991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10733,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10797,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03874,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2
FGSG_07157,3,4,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_08397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01929,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10186,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13613,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13928,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08981,4,5,4,4,4,4,4,3,4,4,4,4,4,6,4,4,4
FGSG_00902,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,2
FGSG_08551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
